State,Drivers
AK,536033.0
AL,3999057.0
AR,2145334.0
AZ,5284970.0
CA,27039400.0
CO,4244713.0
CT,2605612.0
DE,786504.0
FL,15368695.0
GA,7168733.0
HI,948417.0
IA,2260271.0
ID,1252535.0
IL,8714788.0
IN,4589405.0
KS,2149430.0
KY,3032530.0
LA,3425435.0
MA,4944666.0
MD,2915207.0
ME,1040582.0
MI,7153645.0
MN,3391057.0
MO,4272960.0
MS,2058036.0
MT,806204.0
NC,7509231.0
ND,561333.0
NE,1420317.0
NH,1161665.0
NJ,6342876.0
NM,1458433.0
NV,1983453.0
NY,12194360.0
OH,8032665.0
OK,2504253.0
OR,2930702.0
PA,8991370.0
RI,756966.0
SC,3846069.0
SD,638428.0
TN,5422429.0
TX,17370383.0
UT,2030644.0
VA,5929031.0
VT,564892.0
WA,5909967.0
WI,4288171.0
WV,1136775.0
WY,419256.0
